2024-10-29 11:00:54,344: Namespace(device='cuda', alpha=0.8, beta=1.0, lr=0.0001, pretrain_epochs=10, num_epochs=50, noise_strength=0.3, no_adversarial=False, visualize=False, debug=True, no_cam=False, seed=42, threshold=0.5, positive_weight=1.05, dataset='chexpert', feature='ch_n03')
2024-10-29 11:00:54,443: Number of GPUs available: 8
2024-10-29 11:00:55,733: Number of samples in training dataset: 22341 | testing dataset:234
2024-10-29 11:00:55,734: positive weight: 36.9080
2024-10-29 11:31:59,367: Step [280/699], Loss D: 0.4193, Loss G: -0.0604
2024-10-29 11:32:03,736: Step [300/699], Loss D: 0.4173, Loss G: 0.0041
2024-10-29 11:32:08,132: Step [320/699], Loss D: 0.3559, Loss G: -0.5839
2024-10-29 11:32:12,457: Step [340/699], Loss D: 0.3114, Loss G: -0.1072
2024-10-29 11:32:16,106: Step [360/699], Loss D: 0.4314, Loss G: 0.2548
2024-10-29 11:32:19,607: Step [380/699], Loss D: 0.3954, Loss G: -0.2537
2024-10-29 11:32:23,180: Step [400/699], Loss D: 0.3397, Loss G: -0.2309
2024-10-29 11:32:26,789: Step [420/699], Loss D: 0.4458, Loss G: -0.2303
2024-10-29 11:32:30,316: Step [440/699], Loss D: 0.6205, Loss G: 0.1358
2024-10-29 11:32:33,987: Step [460/699], Loss D: 0.4949, Loss G: -0.4164
2024-10-29 11:32:37,609: Step [480/699], Loss D: 0.3674, Loss G: -0.3134
2024-10-29 11:32:41,399: Step [500/699], Loss D: 0.4264, Loss G: 0.7114
2024-10-29 11:32:45,600: Step [520/699], Loss D: 0.4624, Loss G: -0.4659
2024-10-29 11:32:49,950: Step [540/699], Loss D: 0.4561, Loss G: -0.0870
2024-10-29 11:32:54,377: Step [560/699], Loss D: 0.3476, Loss G: -0.0581
2024-10-29 11:32:58,900: Step [580/699], Loss D: 0.5235, Loss G: 0.2913
2024-10-29 11:33:03,258: Step [600/699], Loss D: 0.3433, Loss G: -0.0994
2024-10-29 11:33:07,768: Step [620/699], Loss D: 0.4048, Loss G: -0.3900
2024-10-29 11:33:12,108: Step [640/699], Loss D: 0.4842, Loss G: -0.0087
2024-10-29 11:33:16,543: Step [660/699], Loss D: 0.3067, Loss G: 0.2248
2024-10-29 11:33:21,035: Step [680/699], Loss D: 0.4719, Loss G: -0.0541
2024-10-29 11:34:01,659: Test Loss: 0.7825, Accuracy: 0.6581, F1: 0.0000, AUC: 0.3999
2024-10-29 11:34:01,659: DP:0.08, EO:0.00
2024-10-29 11:34:36,027: Step [20/699], Loss D: 0.3338, Loss G: 0.1767
2024-10-29 11:34:40,647: Step [40/699], Loss D: 0.4465, Loss G: -0.2433
2024-10-29 11:34:45,083: Step [60/699], Loss D: 0.3876, Loss G: -0.4740
2024-10-29 11:34:49,477: Step [80/699], Loss D: 0.4224, Loss G: 0.3620
2024-10-29 11:34:53,891: Step [100/699], Loss D: 0.4828, Loss G: -0.1033
2024-10-29 11:34:58,247: Step [120/699], Loss D: 0.5425, Loss G: -0.3263
2024-10-29 11:35:02,717: Step [140/699], Loss D: 0.5558, Loss G: -0.1514
2024-10-29 11:35:07,187: Step [160/699], Loss D: 0.3307, Loss G: -0.6225
2024-10-29 11:35:11,626: Step [180/699], Loss D: 0.3927, Loss G: -0.0307
2024-10-29 11:35:15,878: Step [200/699], Loss D: 0.3439, Loss G: -0.1855
2024-10-29 11:35:20,364: Step [220/699], Loss D: 0.4251, Loss G: 0.1514
2024-10-29 11:35:24,875: Step [240/699], Loss D: 0.3025, Loss G: -0.2451
2024-10-29 11:35:29,150: Step [260/699], Loss D: 0.4878, Loss G: -0.4466
2024-10-29 11:35:33,488: Step [280/699], Loss D: 0.3153, Loss G: -0.1708
2024-10-29 11:35:37,713: Step [300/699], Loss D: 0.5695, Loss G: 0.4397
2024-10-29 11:35:42,121: Step [320/699], Loss D: 0.5020, Loss G: -0.4703
2024-10-29 11:35:46,628: Step [340/699], Loss D: 0.3227, Loss G: 0.3075
2024-10-29 11:35:50,889: Step [360/699], Loss D: 0.3742, Loss G: 0.5288
2024-10-29 11:35:55,251: Step [380/699], Loss D: 0.2463, Loss G: 0.0729
2024-10-29 11:35:59,500: Step [400/699], Loss D: 0.3945, Loss G: 0.0430
2024-10-29 11:36:03,137: Step [420/699], Loss D: 0.4221, Loss G: 0.3962
2024-10-29 11:36:06,744: Step [440/699], Loss D: 0.5159, Loss G: -0.1139
2024-10-29 11:36:10,265: Step [460/699], Loss D: 0.2816, Loss G: -0.1842
2024-10-29 11:36:13,936: Step [480/699], Loss D: 0.5555, Loss G: 0.0633
2024-10-29 11:36:17,541: Step [500/699], Loss D: 0.6476, Loss G: 0.1169
2024-10-29 11:36:21,170: Step [520/699], Loss D: 0.4258, Loss G: 0.0267
2024-10-29 11:36:24,835: Step [540/699], Loss D: 0.3128, Loss G: -0.4371
2024-10-29 11:36:28,458: Step [560/699], Loss D: 0.4673, Loss G: -0.1798
2024-10-29 11:36:32,104: Step [580/699], Loss D: 0.4901, Loss G: 0.3648
2024-10-29 11:36:35,766: Step [600/699], Loss D: 0.2731, Loss G: -0.2133
2024-10-29 11:36:39,611: Step [620/699], Loss D: 0.4815, Loss G: -0.4326
2024-10-29 11:36:44,026: Step [640/699], Loss D: 0.5218, Loss G: 0.0151
2024-10-29 11:36:48,286: Step [660/699], Loss D: 0.3525, Loss G: 0.5495
2024-10-29 11:36:52,668: Step [680/699], Loss D: 0.4054, Loss G: -0.1020
2024-10-29 11:37:33,864: Test Loss: 0.8129, Accuracy: 0.8590, F1: 0.0000, AUC: 0.3363
2024-10-29 11:37:33,864: DP:0.01, EO:0.00
2024-10-29 11:38:08,423: Step [20/699], Loss D: 0.2985, Loss G: 0.4041
2024-10-29 11:38:12,952: Step [40/699], Loss D: 0.5934, Loss G: -0.0562
